Drug ID,Drug Name,Generic Name,Drug Class,Indications,Dosage Form,Strength,Route of Administration,Mechanism of Action,Side Effects,Contraindications,Interactions,Warnings and Precautions,Pregnancy Category,Storage Conditions,Manufacturer,Approval Date,Availability,NDC,Price
33,Bupropion,Bupropion,Atypical Antidepressant,Depression,Tablet,150 mg,Oral,Inhibits reuptake of dopamine and norepinephrine,Insomnia, Weight loss,Seizure threshold: lower risk than other antidepressants,May cause agitation,Category C,Room temperature,WellnessMeds,20-01-2022,Prescription,67890123478,5.5
34,Ceftriaxone,Ceftriaxone,Cephalosporin,Bacterial Infections,Injection,1 g,Intravenous/Intramuscular,Inhibits bacterial cell wall synthesis,Injection site reactions, Diarrhea,Allergy to cephalosporins,Calcium-containing solutions: precipitates,Category B,Room temperature,MediCure,18-06-2022,Prescription,78901234589,13.75
35,Fentanyl,Fentanyl,Opioid Analgesic,Severe Pain,Transdermal Patch,100 mcg/hour,Transdermal,Binds to opioid receptors in the brain,Respiratory depression, Constipation,Opioid-naive patients: use with caution,Do not use for mild pain,Category C,Room temperature,PainRelief,15-09-2021,Prescription,89012345600,25.99
36,Hydrochlorothiazide,Hydrochlorothiazide,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Severe renal impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,30-04-2022,Prescription,90123456711,4.5
37,Escitalopram,Escitalopram,Selective Serotonin Reuptake Inhibitor,Depression,Capsule,10 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionEase,28-11-2021,Prescription,12345678922,5.25
38,Amlodipine,Amlodipine,Calcium Channel Blocker,Hypertension,Tablet,5 mg,Oral,Blocks calcium channels,Swelling of legs and ankles, Flushing,Severe hypotension: use with caution,Take at the same time each day,Category C,Room temperature,HeartCare,05-02-2022,Prescription,23456789033,6.75
39,Mirtazapine,Mirtazapine,Atypical Antidepressant,Depression,Tablet,30 mg,Oral,Enhances noradrenergic and serotonergic activity,Drowsiness, Increased appetite,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,MoodEase,14-10-2021,Prescription,34567890144,7.99
40,Trazodone,Trazodone,Serotonin Modulator,Depression,Tablet,50 mg,Oral,Enhances serotonin activity,Drowsiness, Dry mouth,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionMeds,01-03-2022,Prescription,45678901255,6.5
41,Pravastatin,Pravastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,20-12-2021,Prescription,56789012366,8.99
42,Aripiprazole,Aripiprazole,Atypical Antipsychotic,Schizophrenia,Tablet,10 mg,Oral,Partial agonist at dopamine and serotonin receptors,Weight gain, Movement disorders,Elderly with dementia: increased risk of death,May cause drowsiness,Category C,Room temperature,MentalHealth,12-01-2022,Prescription,67890123477,9.75
43,Amoxicillin-Clavulanate,Amoxicillin-Clavulanate,Antibiotic,Bacterial Infections,Tablet,875/125 mg,Oral,Inhibits bacterial cell wall synthesis,Diarrhea, Allergic reactions,Allergy to penicillins,Probenecid: increased blood levels,Category B,Room temperature,MediPharm,02-05-2022,Prescription,78901234588,11.25
44,Lithium,Lithium,Mood Stabilizer,Bipolar Disorder,Capsule,300 mg,Oral,Precise mechanism not fully understood,Frequent urination, Tremor,Kidney impairment: monitor closely,Do not change salt intake drastically,Category D,Room temperature,WellnessRx,20-03-2022,Prescription,89012345699,7.5
45,Pregabalin,Pregabalin,Anticonvulsant,Neuropathic Pain,Capsule,75 mg,Oral,Binds to calcium channels in nerve cells,Dizziness, Drowsiness,History of substance abuse: use with caution,May cause weight gain,Category C,Room temperature,NerveCare,08-10-2021,Prescription,90123456710,9.99
46,Isosorbide Mononitrate,Isosorbide Mononitrate,Vasodilator,Angina,Tablet,60 mg,Oral,Relaxes blood vessels,Headache, Flushing,Hypotension: use with caution,Avoid alcohol,Category C,Room temperature,HeartEase,15-05-2022,Prescription,12345678921,5.5
47,Ezetimibe,Ezetimibe,Cholesterol Absorption Inhibitor,Hyperlipidemia,Tablet,10 mg,Oral,Inhibits cholesterol absorption from the intestines,Stomach pain, Diarrhea,Simvastatin: increased risk of side effects,Take at the same time each day,Category C,Room temperature,PharmaCare,08-03-2022,Prescription,23456789032,8.25
48,Enalapril,Enalapril,Angiotensin-Converting Enzyme Inhibitor,Hypertension,Tablet,20 mg,Oral,Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Diuretics: increased hypotension risk,Take on an empty stomach,Category D,Room temperature,CardioPharm,30-09-2021,Prescription,34567890143,6.99
49,Diazepam,Diazepam,Benzodiazepine,Anxiety,Tablet,5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature,NeuroWell,05-01-2022,Prescription,45678901254,7.75
50,Methotrexate,Methotrexate,Immunosuppressant,Rheumatoid Arthritis,Tablet,10 mg,Oral,Inhibits folic acid synthesis,Nausea, Fatigue,Severe liver or kidney impairment: avoid,Take with a full glass of water,Category X,Room temperature,MediRheum,22-12-2021,Prescription,56789012365,4.99
51,Cetirizine,Cetirizine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness, Dry mouth,Do not operate heavy machinery,May cause drowsiness,Category B,Room temperature,ReliefAllergy,18-02-2022,OTC,67890123476,6.25
52,Bromocriptine,Bromocriptine,Dopamine Agonist,Parkinson's Disease,Tablet,2.5 mg,Oral,Stimulates dopamine receptors,Nausea, Hallucinations,History of mental disorders: use with caution,Take with meals,Category B,Room temperature,NeuroCare,05-09-2021,Prescription,78901234587,7.5
53,Ethinyl Estradiol / Levonorgestrel,Ethinyl Estradiol / Levonorgestrel,Combined Oral Contraceptive,Contraception,Pill,0.03 mg / 0.15 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature,Women'sHealth,08-04-2022,Prescription,89012345698,9.99
54,Gabapentin,Gabapentin,Anticonvulsant,Epilepsy,Capsule,300 mg,Oral,Increases GABA activity,Dizziness, Drowsiness,History of substance abuse: use with caution,May cause weight gain,Category C,Room temperature,NerveEase,20-03-2022,Prescription,90123456709,5.99
55,Naproxen,Naproxen,NSAID,Pain and Inflammation,Tablet,250 mg,Oral,Inhibits prostaglandin synthesis,Stomach irritation, GI bleeding,Allergy to NSAIDs,Anticoagulants: increased bleeding risk,Category C,Room temperature,PainRelief,08-10-2021,OTC,12345678920,4.25
56,Carvedilol,Carvedilol,Beta Blocker,Hypertension,Tablet,25 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature,CardioPharm,15-01-2022,Prescription,23456789031,6.75
57,Clopidogrel,Clopidogrel,Platelet Aggregation Inhibitor,Cardiovascular Disease,Tablet,75 mg,Oral,Inhibits platelet aggregation,Dizziness, Bleeding risk,Genetic variations: reduced effectiveness,Take with or without food,Category B,Room temperature,HeartWell,10-06-2022,Prescription,34567890142,8.5
58,Ezetimibe / Simvastatin,Ezetimibe / Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,10 mg / 20 mg,Oral,Inhibits cholesterol absorption and synthesis,Muscle pain, Liver problems,Simvastatin: increased risk of side effects,Take in the evening,Category X,Room temperature,PharmaCare,22-11-2021,Prescription,45678901253,12.99
59,Fluticasone Propionate,Fluticasone Propionate,Corticosteroid,Asthma,Inhaler,50 mcg/inhalation,Inhalation,Reduces inflammation and bronchoconstriction,Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireWell,05-03-2022,Prescription,56789012364,15.25
60,Metronidazole,Metronidazole,Antibiotic,Bacterial Infections,Tablet,500 mg,Oral,Disrupts DNA and protein synthesis,Nausea, Metallic taste,Alcohol: severe reaction,Finish the full course of treatment,Category B,Room temperature,MediPharm,30-10-2021,Prescription,67890123475,7.75
61,Duloxetine,Duloxetine,Selective Serotonin-Norepinephrine Reuptake Inhibitor,Depression,Capsule,30 mg,Oral,Inhibits serotonin and norepinephrine reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionEase,20-02-2022,Prescription,78901234586,9.99
62,Chlorthalidone,Chlorthalidone,Thiazide Diuretic,Hypertension,Tablet,25 mg,Oral,Increases urine output,Dehydration, Electrolyte imbalances,Kidney impairment: avoid,Take with food or milk,Category B,Room temperature,DiureticCare,14-12-2021,Prescription,89012345697,4.5
63,Cefuroxime,Cefuroxime,Cephalosporin,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial cell wall synthesis,Upset stomach, Allergic reactions,Allergy to cephalosporins,Probenecid: increased blood levels,Category B,Room temperature,HealthCure,02-04-2022,Prescription,90123456708,6.25
64,Alendronate,Alendronate,Bisphosphonate,Osteoporosis,Tablet,70 mg,Oral,Inhibits bone resorption,Stomach irritation, Difficulty swallowing,Esophagus problems: remain upright after taking,Take on an empty stomach,Category C,Room temperature,BoneHealth,15-03-2022,Prescription,12345678919,5.99
65,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,150 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,28-11-2021,OTC,23456789030,4.5
66,Levetiracetam,Levetiracetam,Anticonvulsant,Epilepsy,Tablet,500 mg,Oral,Precise mechanism not fully understood,Dizziness, Fatigue,Avoid abrupt discontinuation,May cause behavioral changes,Category C,Room temperature,NeuroCare,20-01-2022,Prescription,34567890141,7.25
67,Pioglitazone,Pioglitazone,Thiazolidinedione,Type 2 Diabetes,Tablet,30 mg,Oral,Improves insulin sensitivity,Fluid retention, Weight gain,Bladder cancer risk: use with caution,Take with or without food,Category C,Room temperature,DiabetesCare,08-02-2022,Prescription,45678901252,9.75
68,Cyclobenzaprine,Cyclobenzaprine,Muscle Relaxant,Muscle Spasms,Tablet,10 mg,Oral,Reduces muscle spasms,Drowsiness, Dry mouth,Glaucoma: use with caution,May impair judgment,Category B,Room temperature,RelaxWell,12-09-2021,Prescription,56789012363,5.5
69,Levothyroxine,Levothyroxine,Thyroid Hormone,Hypothyroidism,Tablet,75 mcg,Oral,Replaces thyroid hormone,Tremor, Insomnia,Cardiovascular disease: use with caution,Take on an empty stomach,Category A,Room temperature,EndoPharm,02-03-2022,Prescription,67890123474,3.99
70,Quetiapine,Quetiapine,Atypical Antipsychotic,Schizophrenia,Tablet,100 mg,Oral,Blocks dopamine and serotonin receptors,Drowsiness, Weight gain,Elderly with dementia: increased risk of death,May cause dizziness,Category C,Room temperature,MentalWellness,18-04-2022,Prescription,78901234585,8.75
71,Paroxetine,Paroxetine,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,40 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category D,Room temperature,EmotionCare,05-10-2021,Prescription,89012345696,6.25
72,Allopurinol,Allopurinol,Xanthine Oxidase Inhibitor,Gout,Tablet,300 mg,Oral,Inhibits uric acid production,Rash, Liver problems,Kidney impairment: adjust dose,Take with plenty of water,Category C,Room temperature,JointCare,22-05-2022,Prescription,90123456707,5.5
73,Ethinyl Estradiol / Norgestimate,Ethinyl Estradiol / Norgestimate,Monophasic Oral Contraceptive,Contraception,Pill,0.035 mg / 0.25 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature,Women'sHealth,30-09-2021,Prescription,12345678918,9.25
74,Valacyclovir,Valacyclovir,Antiviral,Herpes Infections,Tablet,500 mg,Oral,Inhibits viral DNA replication,Headache, Nausea,Kidney impairment: adjust dose,Stay well-hydrated,Category B,Room temperature,MediViral,10-03-2022,Prescription,23456789029,7.99
75,Clonazepam,Clonazepam,Benzodiazepine,Anxiety,Tablet,0.5 mg,Oral,Enhances effects of GABA in the brain,Drowsiness, Addiction history,Benzodiazepines: additive effects,Avoid alcohol,Category D,Room temperature,NeuroRelax,10-12-2021,Prescription,34567890140,4.99
76,Memantine,Memantine,NMDA Receptor Antagonist,Alzheimer's Disease,Tablet,10 mg,Oral,Blocks NMDA receptors,Dizziness, Headache,Kidney impairment: adjust dose,Take at the same time each day,Category B,Room temperature,MindCare,12-02-2022,Prescription,45678901251,8.25
77,Insulin Glargine,Insulin Glargine,Long-acting Insulin,Diabetes,Multiple Dose Vial,100 units/mL,Subcutaneous,Regulates blood sugar,Injection site reactions, Hypoglycemia,Adjust dose as needed,Take as directed by healthcare provider,Category B,Room temperature,DiabetesCare,18-10-2021,Prescription,56789012362,25.5
78,Potassium Chloride,Potassium Chloride,Electrolyte Supplement,Hypokalemia,Tablet,20 mEq,Oral,Supplements potassium levels,Upset stomach, Nausea,Kidney problems: use with caution,Take with food or immediately after a meal,Category C,Room temperature,HealthSupp,30-03-2022,OTC,67890123473,5.25
79,Tamoxifen,Tamoxifen,Selective Estrogen Receptor Modulator,Breast Cancer,Tablet,20 mg,Oral,Blocks estrogen receptors,Hot flashes, Blood clots,Personal or family history of blood clots: use with caution,Take with meals,Category D,Room temperature,CancerCare,15-11-2021,Prescription,78901234584,7.75
80,Latanoprost,Latanoprost,Prostaglandin Analog,Glaucoma,Eye Drops,0.01%,Ophthalmic,Lowers intraocular pressure,Stinging, Darkening of iris,Do not touch dropper tip to eye,Use in the evening,Category C,Room temperature,EyeHealth,25-02-2022,Prescription,89012345695,12.99
81,Ranitidine,Ranitidine,H2 Blocker,Gastric Ulcers,Tablet,300 mg,Oral,Reduces stomach acid production,Headache, Constipation,Allergic reactions: avoid,Long-term use: increased risk of fractures,Category B,Room temperature,MediCure,01-12-2021,OTC,90123456706,5.5
82,Loratadine,Loratadine,Antihistamine,Allergies,Tablet,10 mg,Oral,Blocks histamine receptors,Drowsiness, Dry mouth,Do not operate heavy machinery,May cause drowsiness,Category B,Room temperature,ReliefAllergy,15-01-2022,OTC,12345678917,3.99
83,Bimatoprost,Bimatoprost,Prostaglandin Analog,Glaucoma,Eye Drops,0.03%,Ophthalmic,Lowers intraocular pressure,Stinging, Darkening of iris,Do not touch dropper tip to eye,Use in the evening,Category C,Room temperature,EyeHealth,05-03-2022,Prescription,23456789028,9.75
84,Lamotrigine,Lamotrigine,Anticonvulsant,Epilepsy,Tablet,150 mg,Oral,Precise mechanism not fully understood,Dizziness, Fatigue,May cause serious skin reactions,May cause behavioral changes,Category C,Room temperature,NeuroCare,10-09-2021,Prescription,34567890139,6.99
85,Rosiglitazone,Rosiglitazone,Thiazolidinedione,Type 2 Diabetes,Tablet,4 mg,Oral,Improves insulin sensitivity,Fluid retention, Weight gain,Heart failure risk: use with caution,Take with or without food,Category C,Room temperature,DiabetesCare,28-02-2022,Prescription,45678901250,8.5
86,Citalopram,Citalopram,Selective Serotonin Reuptake Inhibitor,Depression,Tablet,20 mg,Oral,Inhibits serotonin reuptake,Nausea, Insomnia,Monoamine oxidase inhibitors: serotonin syndrome risk,Avoid alcohol,Category C,Room temperature,EmotionEase,22-10-2021,Prescription,56789012361,5.75
87,Prednisone,Prednisone,Corticosteroid,Inflammatory Conditions,Tablet,10 mg,Oral,Suppresses immune response,Weight gain, Mood changes,Avoid alcohol and grapefruit,Take with food or milk,Category C,Room temperature,InflammaCare,10-03-2022,Prescription,67890123472,4.25
88,Fluticasone Propionate / Salmeterol,Fluticasone Propionate / Salmeterol,Corticosteroid / Long-acting Beta Agonist,Asthma,Inhaler,100 mcg / 50 mcg per inhalation,Inhalation,Reduces inflammation and bronchoconstriction, Hoarseness, Oral candidiasis,Rinse mouth after use,Use regularly for best results,Category C,Room temperature,RespireCare,30-09-2021,Prescription,78901234583,18.99
89,Simvastatin,Simvastatin,Cholesterol-lowering,Hyperlipidemia,Tablet,40 mg,Oral,Inhibits cholesterol synthesis,Muscle pain, Liver problems,Strong CYP3A4 inhibitors: increased risk of side effects,Avoid grapefruit juice,Category X,Room temperature,PharmaWell,15-03-2022,Prescription,89012345694,6.25
90,Ciprofloxacin,Ciprofloxacin,Fluoroquinolone,Bacterial Infections,Tablet,500 mg,Oral,Inhibits bacterial DNA synthesis,Nausea, Diarrhea,Allergy to fluoroquinolones,Taking with dairy products: decreased absorption,Category C,Room temperature,MediPharm,12-12-2021,Prescription,90123456705,5.5
91,Hydrochlorothiazide / Lisinopril,Hydrochlorothiazide / Lisinopril,Diuretic / ACE Inhibitor,Hypertension,Tablet,12.5 mg / 10 mg,Oral,Increases urine output / Inhibits angiotensin-converting enzyme,Cough, Low blood pressure,Kidney problems: use with caution,Take with food or milk,Category D,Room temperature,HeartHealth,25-01-2022,Prescription,12345678916,8.75
92,Ondansetron,Ondansetron,Antiemetic,Nausea and Vomiting,Tablet,8 mg,Oral,Blocks serotonin receptors,Drowsiness, Constipation,Long QT syndrome: use with caution,Take as directed by healthcare provider,Category B,Room temperature,NauseaRelief,08-04-2022,Prescription,23456789027,6.25
93,Amiodarone,Amiodarone,Antiarrhythmic,Arrhythmias,Tablet,200 mg,Oral,Prolongs action potential duration,Photosensitivity, Lung problems,Heart problems: use with caution,Take with meals,Category D,Room temperature,CardioCare,30-11-2021,Prescription,34567890138,7.99
94,Drospirenone / Ethinyl Estradiol,Drospirenone / Ethinyl Estradiol,Combined Oral Contraceptive,Contraception,Pill,3 mg / 0.03 mg,Oral,Inhibits ovulation,Nausea, Weight gain,Smokers: increased risk of cardiovascular events,Take at the same time each day,Category X,Room temperature,Women'sHealth,02-03-2022,Prescription,45678901249,9.75
95,Warfarin,Warfarin,Anticoagulant,Blood Clots,Tablet,5 mg,Oral,Inhibits vitamin K-dependent clotting factors,Bleeding risk, Interactions with many drugs,Regular monitoring of INR required,Do not change diet drastically,Category X,Room temperature,HealthMeds,15-09-2021,Prescription,56789012360,3.99
96,Propranolol,Propranolol,Beta Blocker,Hypertension,Tablet,40 mg,Oral,Blocks beta receptors,Low heart rate, Low blood pressure,Asthma: use with caution,Do not stop abruptly,Category C,Room temperature,CardioPharm,18-02-2022,Prescription,67890123471,4.75
